# --------------------------------------------------
# nrow : 900
# ncol : 75
# comment : Station list for covariate paper.
# time_generated : 2024-12-16 15:50:36
# author : Julien Lerat, CSIRO Environment
# source_file : D030_high_quality_station_selection.py
# --------------------------------------------------
STATIONID,LONGITUDE[arc_degree],LATITUDE[arc_degree],CATCHMENTAREA[km2],LONGITUDE_DEM[arc_degree],LATITUDE_DEM[arc_degree],ALTITUDE[m],COORDINATE_DEM_TYPE[-],CATCHMENTAREA_DEM[km2],LONGITUDE_CENTROID[arc_degree],LATITUDE_CENTROID[arc_degree],ALTITUDE_OUTLET[m],PATHLENGTH_MEAN[km],PATHLENGTH_MAX[km],ALTITUDE_MEAN[m],ALTITUDE_MIN[m],ALTITUDE_MAX[m],DAMS_WITHIN_CATCHMENT_CAPACITY[Mm3],RELIEF_RATIO[-],LANDUSE2013_PROP_08[-],LANDUSE2013_PROP_05[-],LANDUSE2013_PROP_07[-],LANDUSE2013_PROP_04[-],LANDUSE2013_PROP_06[-],LANDUSE2013_PROP_02[-],LANDUSE2013_PROP_03[-],LANDUSE2013_PROP_01[-],LANDUSE2013_PROP_00[-],IS_VALID[-],STREAMFLOW_NLININTERP[-],STREAMFLOW_NVALID[-],PRECIPITATION_MEAN[mm/yr],E0_MEAN[mm/yr],STREAMFLOW_MEAN[mm/yr],STREAMFLOW_MAX[m3/sec],NORMSTREAMFLOW_MAX[m3/sec/km2],RUNOFF_COEFFICIENT[-],ARIDITY_INDEX[-],CATCHMENTAREA_VALID[km2],NDAYSMAX_ZERO_CONSECUTIVE[day],STATION_COORD_DEM_ERROR[km],GAUGING_MAX_BoM[m3/sec],GAUGING_MAX_PROVIDER[m3/sec],XOUTLET_EPSG28356[m],YOUTLET_EPSG28356[m],XCENTROID_EPSG28356[m],YCENTROID_EPSG28356[m],DISTANCE_OUTLET_TO_CENTROID[km],RATIO_OUTLET_DISTANCE_VS_SQRTAREA[-],RATIO_MAXPATH_VS_SQRTAREA[-],DISTANCE_OUTLET_FROM_COAST[km],DISTANCE_CENTROID_FROM_COAST[km],DURATION[yr],STREAMFLOW_MEAN_AMS_DURATION[yr],STREAMFLOW_MAX_AMS_DURATION[yr],NAME,STATE,DATA_PROVIDER[-],START[-],COMMENT[-],END[-],CONTROL_SECTION[-],BASIN[-],GEOFABRIC_RIVER[-],DAMS_WITHIN_CATCHMENT[-],STATIONID_ALTERNATIVE[-],DATA_AVAILABILITY[-],DAILYMEAN_PROVIDER_QUALITY_ASSESSMENT[-],DAILYMEAN_BOM_QUALITY_ASSESSMENT[-],DAILYMAX_PROVIDER_QUALITY_ASSESSMENT[-],DAILYMAX_BOM_QUALITY_ASSESSMENT[-],STREAMFLOW_MAX_DATE[-],WATER_YEAR_START[-],IS_ARR,CATCHMENTAREA_ARR[km2],GAUGING_RATIO[-]
208009,151.31540,-31.57950,150.00000,151.31500,-31.58000,594.80603,3.00000,151.66386,151.24060,-31.59091,1187.95300,13.67827,26.01918,1069.40552,652.91089,1369.04602,,0.03633,0.99838,0.00122,0.00041,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,22671.00000,1057.04932,1372.42566,334.23911,299.04263,1.99362,0.31620,0.77021,150.00000,73.00000,0.06719,23.61111,23.61111,340148.15625,6504941.00000,333069.71875,6503564.50000,7.21105,0.58878,2.12446,127.18094,133.23328,74.88570,46.00000,44.00000,Barnard River At Barry,NSW,WaterNSW,1949-02-17 00:00:00,Turbidity data also collected. Co-ordinates at benchmark.,2024-01-07 00:00:00,"ROCK
",Manning River,nan,nan,208009,streamflow_dailymean_waternsw_9am=27276/streamflow_dailymean_bom_9am=26390/streamflow_dailymax_waternsw_9am=23598/streamflow_dailymax_bom_9am=26594/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26966/runoff_era5_mean_9am=26966/pet_era5_mean_9am=26966/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=45099/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=3999,discard=2332",islin=3793,"islin=4182,discard=2012",islin=3562,1976-01-23,APR,0.00000,,0.07896
208011,151.89919,-31.77137,1790.00000,151.89999,-31.77250,111.84100,1.00000,1763.24084,151.52014,-31.60810,336.00031,80.52116,143.39651,910.47388,188.17870,1400.15405,,0.11832,0.91844,0.07784,0.00357,0.00011,0.00004,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,20993.00000,931.18640,1403.68396,147.66908,1157.41321,0.64660,0.15858,0.66339,1790.00000,97.00000,0.14738,379.37500,379.37500,395761.59375,6484378.50000,359620.93750,6502052.00000,40.23052,0.95089,3.38932,67.96830,108.18325,61.43190,41.00000,45.00000,Barnard River At Mackay,NSW,WaterNSW,1962-08-02 00:00:00,AHD of 111.841m at BM on shelter slab. Site location taken at Site Shelter.,2024-01-07 00:00:00,"GRAVEL
",Manning River,Barnard River (Manning River),nan,208011,streamflow_dailymean_waternsw_9am=22324/streamflow_dailymean_bom_9am=20297/streamflow_dailymax_waternsw_9am=19603/streamflow_dailymax_bom_9am=20886/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26966/runoff_era5_mean_9am=26966/pet_era5_mean_9am=26966/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=46834/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=707,discard=1045",islin=415,"islin=504,discard=1007",islin=1330,1976-01-24,OCT,0.00000,,0.32778
208015,152.51416,-31.78660,96.00000,152.51250,-31.78750,11.11800,3.00000,91.05020,152.46603,-31.71007,519.92133,16.58564,26.96757,498.53815,79.21490,796.21362,,0.03761,0.73431,0.26569,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,17394.00000,1439.81531,1519.42798,674.90460,706.41913,7.35853,0.46874,0.94760,96.00000,179.00000,0.18615,153.93513,153.93513,454003.59375,6483115.00000,449406.21875,6491576.00000,9.62956,0.98281,2.75237,18.78513,28.13549,54.42026,43.00000,38.00000,Lansdowne River At Lansdowne,NSW,WaterNSW,1969-06-26 00:00:00,Site location taken at Site Shelter. AHD elevation taken at BMGS648.,2023-11-27 00:00:00,"ROCK
",Manning River,nan,nan,208015,streamflow_dailymean_waternsw_9am=19878/streamflow_dailymax_waternsw_9am=17256/streamflow_dailymax_bom_9am=19916/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26966/runoff_era5_mean_9am=26966/pet_era5_mean_9am=26966/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=49086/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=2222,discard=262",nan,"islin=1481,discard=255",islin=1714,2021-03-20,JUL,0.00000,,0.21791
208019,152.29349,-31.83982,492.00000,152.29500,-31.84250,41.11300,3.00000,500.49472,152.25797,-31.72829,92.75142,30.62348,56.56177,441.93799,71.34362,1012.96698,,0.06007,0.91303,0.08672,0.00013,0.00013,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,12070.00000,1218.46570,1475.63123,435.74466,1330.72424,2.70472,0.35762,0.82573,492.00000,56.00000,0.32964,376.15741,376.15741,433149.84375,6477101.50000,429704.50000,6489441.50000,12.81184,0.57760,2.55000,31.47284,41.22743,39.60575,31.00000,32.00000,Dingo Creek At Munyaree Flat,NSW,WaterNSW,1971-08-15 00:00:00,New Site 208032 Dingo Creek at Belbourie Bridge commenced on 26/05/2011.Old site 208019 was managed in duplicate by NOW and Commerce.,2011-03-24 00:00:00,"ROCK
",Manning River,nan,nan,208019,streamflow_dailymean_waternsw_9am=14466/streamflow_dailymean_bom_9am=12367/streamflow_dailymax_waternsw_9am=12838/streamflow_dailymax_bom_9am=14466/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26966/runoff_era5_mean_9am=26966/pet_era5_mean_9am=26966/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=49030/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=2185,discard=2102",islin=309,"islin=300,discard=2093",islin=2548,1976-03-02,JUL,0.00000,,0.28267
208020,151.95921,-32.00337,253.13000,151.96001,-32.00250,90.26700,3.00000,235.91895,151.78075,-32.07122,337.57419,31.80876,64.84744,343.38858,88.42981,908.95178,,0.07903,0.69545,0.29757,0.00026,0.00129,0.00000,0.00543,0.00000,0.00000,0.00000,1.00000,0.00000,7507.00000,1214.78821,1328.70239,317.40161,408.21976,1.61269,0.26128,0.91427,253.13000,52.00000,0.12137,111.45833,111.45833,401693.96875,6458717.50000,384920.62500,6451020.00000,18.45535,1.15998,4.07588,53.68955,68.96500,20.64613,19.00000,17.00000,Gloucester River At Gloucester,NSW,WaterNSW,2003-04-06 00:00:00,BOM ERTS CANISTER INSTALLED FOR GLOUCESTER COUNCIL FLOOD WARNING. Site location at Shelter. Elevation at BM208020.,2023-11-28 00:00:00,"GRAVEL
",Manning River,nan,nan,208020,streamflow_dailymean_waternsw_9am=7542/streamflow_dailymax_waternsw_9am=6185/streamflow_dailymax_bom_9am=7578/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26966/runoff_era5_mean_9am=26966/pet_era5_mean_9am=26966/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=48828/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=27,discard=8",nan,islin=27,islin=23,2021-03-20,JUL,0.00000,,0.27304
208024,151.34419,-31.55894,285.00000,151.34500,-31.56000,534.01398,1.00000,269.10855,151.26241,-31.55995,937.62231,17.29127,32.28483,1047.70435,617.51288,1369.04602,,0.04296,0.99814,0.00093,0.00093,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,11880.00000,921.31281,1367.31763,208.96709,434.80182,1.52562,0.22681,0.67381,285.00000,6.00000,0.13992,27.19907,27.19907,342846.84375,6507262.00000,335084.81250,6507030.00000,7.76550,0.45999,1.91239,125.61718,132.65800,34.21492,23.00000,26.00000,Barnard River At D/S Back River Junction,NSW,WaterNSW,1982-04-03 00:00:00,Co-ordinates at benchmark.,2016-06-20 00:00:00,"GRAVEL
",Manning River,Barnard River (Manning River),nan,208024,streamflow_dailymean_waternsw_9am=15179/streamflow_dailymax_waternsw_9am=12568/streamflow_dailymax_bom_9am=14780/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26966/runoff_era5_mean_9am=26966/pet_era5_mean_9am=26966/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=45067/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=332,discard=3096",nan,"islin=135,discard=2605",islin=284,2010-01-03,APR,0.00000,,0.06256
209002,151.97890,-32.24370,156.00000,151.98250,-32.24250,75.46000,3.00000,148.99722,152.05615,-32.25531,283.91849,16.89731,29.94755,291.97217,108.26220,659.21570,,0.05436,0.99423,0.00577,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,16372.00000,1307.24780,1427.47278,403.55829,696.12506,4.46234,0.30871,0.91578,156.00000,189.00000,0.36433,357.63870,357.63870,403805.40625,6432094.00000,411094.50000,6430873.50000,7.39055,0.59172,2.39772,45.99793,40.12167,55.93977,40.00000,38.00000,Mammy Johnsons River At Pikes Crossing,NSW,WaterNSW,1967-12-20 00:00:00,nan,2023-11-28 00:00:00,"ROCK BAR (ARTIFICIAL WEIR)
",Karuah River,nan,nan,209002,streamflow_dailymean_waternsw_9am=20433/streamflow_dailymax_waternsw_9am=18324/streamflow_dailymax_bom_9am=20340/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26966/runoff_era5_mean_9am=26966/pet_era5_mean_9am=26966/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=49078/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=3798,discard=625",nan,"islin=2558,discard=599",islin=2914,1985-10-13,OCT,1.00000,156.00000,0.51376
209003,151.95750,-32.47714,974.00000,151.95750,-32.48000,12.75600,1.00000,937.27124,151.92081,-32.27419,66.61658,43.82150,84.56487,262.31720,25.00006,1003.16901,,0.08645,0.82970,0.16775,0.00094,0.00033,0.00000,0.00054,0.00000,0.00074,0.00000,1.00000,0.00000,19296.00000,1138.35474,1417.81531,282.54828,2423.39014,2.48808,0.24821,0.80289,974.00000,87.00000,0.31707,730.32391,730.32391,402042.28125,6406196.50000,398366.65625,6428660.50000,22.76296,0.72937,2.70963,29.34161,47.80634,55.13758,44.00000,42.00000,Karuah River At Booral,NSW,WaterNSW,1968-10-28 00:00:00,nan,2023-12-18 00:00:00,"Gravel bar 750 m D/S
",Karuah River,Karuah River (Karuah River),nan,209003,streamflow_dailymean_waternsw_9am=20140/streamflow_dailymax_waternsw_9am=17434/streamflow_dailymax_bom_9am=20155/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26966/runoff_era5_mean_9am=26966/pet_era5_mean_9am=26966/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=49061/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=608,discard=370",nan,"islin=317,discard=350",islin=725,1971-01-21,JUL,1.00000,974.00000,0.30136
209006,152.26089,-32.16090,150.00000,152.26250,-32.16000,28.45500,1.00000,140.88077,152.20184,-32.18661,61.10174,14.00219,24.76509,137.71712,32.69097,454.74359,,0.05868,0.60758,0.39199,0.00000,0.00044,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,16312.00000,1290.43164,1462.71423,330.60114,418.36328,2.78909,0.25619,0.88222,150.00000,242.00000,0.18088,184.02779,184.02779,430309.40625,6441490.50000,424761.56250,6438600.50000,6.25533,0.51075,2.02206,23.38713,29.21865,54.59822,46.00000,43.00000,Wang Wauk River At Willina,NSW,WaterNSW,1969-04-22 00:00:00,nan,2023-11-27 00:00:00,"Improved control rock bar 10 m D/S
",Karuah River,Wang Wauk River (Karuah River),nan,209006,streamflow_dailymean_waternsw_9am=19943/streamflow_dailymax_waternsw_9am=17625/streamflow_dailymax_bom_9am=19967/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26966/runoff_era5_mean_9am=26966/pet_era5_mean_9am=26966/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=49095/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=3474,discard=157",nan,"islin=2521,discard=149",islin=2751,2021-03-22,OCT,1.00000,150.00000,0.43988
209018,151.89999,-32.27290,300.00000,151.90250,-32.27500,101.42200,1.00000,303.83572,151.79446,-32.20145,177.33099,27.94680,53.78399,383.81293,127.14440,1003.16901,,0.06140,0.86824,0.13176,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,15528.00000,1174.06396,1391.14771,338.65918,1169.86743,3.89956,0.28845,0.84395,300.00000,91.00000,0.33113,127.93981,127.93981,396405.28125,6428783.50000,386377.28125,6436597.50000,12.71295,0.73398,3.10522,49.19465,61.63379,43.97810,32.00000,33.00000,Karuah River At Dam Site,NSW,WaterNSW,1979-12-26 00:00:00,nan,2023-12-18 00:00:00,"Improved rock bar 10 m D/S
",Karuah River,Karuah River (Karuah River),nan,209018,streamflow_dailymean_waternsw_9am=16070/streamflow_dailymax_waternsw_9am=13807/streamflow_dailymax_bom_9am=16012/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26966/runoff_era5_mean_9am=26966/pet_era5_mean_9am=26966/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=48993/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=442,discard=141",nan,"islin=314,discard=131",islin=343,2016-01-06,JUL,1.00000,300.00000,0.10936
210005,151.23708,-31.92537,751.00000,151.23750,-31.92500,13.70300,1.00000,703.73193,151.32158,-31.83362,883.81000,32.07883,60.61338,868.49500,444.80310,1440.08301,,0.06090,0.83677,0.16109,0.00188,0.00018,0.00000,0.00000,0.00009,0.00000,0.00000,1.00000,0.00000,12181.00000,1018.80524,1417.81616,183.51736,387.00305,0.51532,0.18013,0.71857,751.00000,61.00000,0.05710,146.96432,146.96432,333336.37500,6466480.50000,341168.50000,6476778.50000,12.93834,0.47213,2.21181,118.14929,116.81774,47.99179,28.00000,28.00000,Hunter River At Moonan Flat,NSW,WaterNSW,1913-01-02 00:00:00,nan,1960-12-30 00:00:00,"GRAVEL
",Hunter River,Hunter River (Hunter River),nan,210005,streamflow_dailymean_waternsw_9am=17530/streamflow_dailymax_waternsw_9am=15874/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26966/runoff_era5_mean_9am=26966/pet_era5_mean_9am=26966/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=47141/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=3537,discard=1812",nan,"islin=3754,discard=1790",nan,1950-04-05,JAN,0.00000,,0.37975
210011,151.68730,-32.31870,195.56000,151.68930,-32.32070,94.62200,1.00000,183.97990,151.58466,-32.22703,463.77319,22.99039,49.83588,678.88531,148.00490,1529.40198,,0.03608,0.58248,0.41686,0.00000,0.00066,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,27755.00000,1238.45190,1416.22607,536.93372,1349.89600,6.90272,0.43355,0.87447,195.56000,81.00000,0.29090,149.60809,149.60809,376434.59375,6423481.00000,366637.18750,6433521.00000,14.02800,1.00313,3.56371,60.16589,73.37444,92.78303,61.00000,68.00000,Williams River At Tillegra,NSW,WaterNSW,1931-02-21 00:00:00,Feature station in the Bureau of Meteorology Hydrological Reference Station dataset.,2023-12-04 00:00:00,"NATURAL GRAVEL BAR 100 m D/S
",Hunter River,Williams River (Hunter River),nan,210011,streamflow_dailymean_waternsw_9am=33890/streamflow_dailymax_waternsw_9am=29819/streamflow_dailymax_bom_9am=33721/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26966/runoff_era5_mean_9am=26966/pet_era5_mean_9am=26966/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=48985/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=3419,discard=2748",nan,"islin=3202,discard=2325",islin=3192,1946-04-19,JUL,1.00000,194.00000,0.11083
210014,151.04860,-32.15150,395.00000,151.04750,-32.15250,209.92999,1.00000,390.56216,151.18539,-32.12472,315.08221,26.47681,45.32403,585.26801,241.66080,1408.13904,,0.03886,0.75526,0.24394,0.00080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,20426.00000,866.10425,1477.26636,152.98666,806.43475,2.04161,0.17664,0.58629,395.00000,151.00000,0.15187,263.88889,263.88889,315968.00000,6441103.50000,328821.21875,6444298.00000,13.24431,0.66639,2.28050,107.97857,102.13178,72.76386,36.00000,51.00000,Rouchel Brook At Rouchel Brook (The Vale),NSW,WaterNSW,1934-08-08 00:00:00,Co-ordinates at benckmark.,2007-05-14 00:00:00,"ROCK&CONCRETE
",Hunter River,Rouchel Brook (Hunter River),nan,210014,streamflow_dailymean_waternsw_9am=32599/streamflow_dailymax_waternsw_9am=28947/streamflow_dailymax_bom_9am=28920/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26966/runoff_era5_mean_9am=26966/pet_era5_mean_9am=26966/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=48368/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=2548,discard=9884",nan,"islin=2433,discard=8905",islin=2133,1978-03-20,OCT,1.00000,395.00000,0.32723
210016,150.32010,-32.41660,4950.00000,150.32001,-32.41750,162.84100,1.00000,4858.94629,150.10699,-32.21760,250.95720,111.40640,193.84380,478.13721,161.06520,1239.78003,,0.17970,0.65823,0.28726,0.02406,0.02886,0.00000,0.00041,0.00018,0.00100,0.00000,1.00000,0.00000,19348.00000,701.79193,1528.91748,30.70760,3357.34717,0.67825,0.04376,0.45901,4950.00000,121.00000,0.10029,342.59259,342.59259,247980.96875,6410225.00000,227337.64062,6431772.50000,29.84051,0.42413,2.75518,144.89996,173.50227,79.03902,45.00000,55.00000,Goulburn River At Kerrabee,NSW,WaterNSW,1940-03-15 00:00:00,nan,2019-03-30 00:00:00,"SAND&GRAVEL
",Hunter River,Goulburn River (Hunter River),nan,210016,streamflow_dailymean_waternsw_9am=30477/streamflow_dailymax_waternsw_9am=27189/streamflow_dailymax_bom_9am=30360/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26966/runoff_era5_mean_9am=26966/pet_era5_mean_9am=26966/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=46225/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=5115,discard=7324",nan,"islin=3831,discard=6493",islin=5619,1971-02-01,OCT,0.00000,,0.10204
210017,151.28090,-31.94230,103.00000,151.27750,-31.94250,459.70700,3.00000,113.55795,151.36018,-31.97317,576.60168,13.06408,24.90807,895.30981,444.80310,1440.08301,,0.02503,0.98439,0.01130,0.00431,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,23472.00000,1076.04858,1366.04358,328.66125,134.76659,1.30841,0.30543,0.78771,103.00000,55.00000,0.32222,20.55801,20.55801,337509.40625,6464670.00000,345056.71875,6461364.00000,8.23967,0.81188,2.45427,114.47945,107.92218,79.55099,41.00000,40.00000,Moonan Brook At Moonan Brook,NSW,WaterNSW,1940-07-08 00:00:00,Co-ordinates at benchmark.,2020-01-26 00:00:00,"ROCK&CONCRETE
",Hunter River,nan,nan,210017,streamflow_dailymean_waternsw_9am=30492/streamflow_dailymax_waternsw_9am=26148/streamflow_dailymax_bom_9am=29398/precipitation_awap_mean_9am=44832/precipitation_era5_mean_9am=26966/runoff_era5_mean_9am=26966/pet_era5_mean_9am=26966/e0_awra_mean_9am=41259/s0_awra_mean_9am=41259/ss_awra_mean_9am=41259/qtot_awra_mean_9am=41259/rzsm_awra_mean_9am=41273/precipitation_silo_mean_9am=49128/apet_silo_mean_9am=49128/tmin_silo_mean_9am=47530/tmax_silo_mean_9am=49128/solrad_silo_mean_9am=49128/relhumid_silo_mean_9am=49128/vapopress_silo_mean_9am=49128/etmortonwet_silo_mean_9am=49128/etmortonpot_silo_mean_9am=49128/etmortonact_silo_mean_9am=49128,"islin=4039,discard=3021",nan,"islin=4193,discard=2646",islin=3947,1942-10-15,JAN,1.00000,103.00000,0.15255
